Genre,Number of Games,Total Players,Average Playtime
1440670,0,"50,000 .. 100,000",1118
1032120,0,"50,000 .. 100,000",0
1250940,0,"50,000 .. 100,000",0
565030,0,"50,000 .. 100,000",25
1951220,0,"50,000 .. 100,000",0
1559680,0,"50,000 .. 100,000",60
722730,0,"50,000 .. 100,000",675
1160490,0,"50,000 .. 100,000",301
2506820,0,"50,000 .. 100,000",0
1300060,0,"50,000 .. 100,000",0
1144800,0,"50,000 .. 100,000",0
987020,0,"50,000 .. 100,000",94
1869270,0,"50,000 .. 100,000",570
1371480,0,"50,000 .. 100,000",211
1431230,0,"50,000 .. 100,000",167
1564620,0,"50,000 .. 100,000",0
248630,0,"50,000 .. 100,000",47
1726180,0,"50,000 .. 100,000",0
1471270,0,"50,000 .. 100,000",482
1026840,0,"50,000 .. 100,000",0
2024070,0,"50,000 .. 100,000",229
1012110,0,"50,000 .. 100,000",518
606870,0,"50,000 .. 100,000",130
2437300,0,"50,000 .. 100,000",0
851110,0,"50,000 .. 100,000",182
1064340,0,"50,000 .. 100,000",0
467010,0,"50,000 .. 100,000",7810
1494320,0,"50,000 .. 100,000",0
1717290,0,"50,000 .. 100,000",0
1910790,0,"50,000 .. 100,000",114
1433990,0,"50,000 .. 100,000",7767
1609230,0,"50,000 .. 100,000",517
1732430,0,"50,000 .. 100,000",681
2075100,0,"50,000 .. 100,000",114
907310,0,"50,000 .. 100,000",0
3241520,0,"50,000 .. 100,000",0
3174620,0,"50,000 .. 100,000",0
3253440,0,"50,000 .. 100,000",0
834880,0,"50,000 .. 100,000",21
1662140,0,"50,000 .. 100,000",620
2114790,0,"50,000 .. 100,000",0
2281200,0,"50,000 .. 100,000",0
1742910,0,"50,000 .. 100,000",0
1145630,0,"50,000 .. 100,000",69
504300,0,"50,000 .. 100,000",144
1300920,0,"50,000 .. 100,000",2814
1766010,0,"50,000 .. 100,000",479
624950,0,"50,000 .. 100,000",0
2281650,0,"50,000 .. 100,000",226
1614550,0,"50,000 .. 100,000",1761
1823390,0,"50,000 .. 100,000",50
1111930,0,"50,000 .. 100,000",54
922630,0,"50,000 .. 100,000",33
1434610,0,"50,000 .. 100,000",0
1195220,0,"50,000 .. 100,000",0
792570,0,"50,000 .. 100,000",0
2218970,0,"50,000 .. 100,000",355
689980,0,"50,000 .. 100,000",343
520530,0,"50,000 .. 100,000",263
2827230,0,"50,000 .. 100,000",691
568670,0,"50,000 .. 100,000",249
543650,0,"50,000 .. 100,000",279
1697880,0,"50,000 .. 100,000",1154
1060230,0,"50,000 .. 100,000",452
461490,0,"50,000 .. 100,000",216
965990,0,"50,000 .. 100,000",0
389800,0,"50,000 .. 100,000",0
2118810,0,"50,000 .. 100,000",626
1764530,0,"50,000 .. 100,000",1417
